"Opportunity Name","Store Address","Store City","Store State","Store Zip","Opportunity ID","DD Deep Link","Cheeseburger Bao","Coconut Bao","Egg & Sausage Bao","IMPOSSIBLE Bao","Bundles","UE Deep Link"
"Fazoli's - Leighway Drive - Richmond (KY)","441 Leighway Dr.","Richmond","KY","40475","0063i000009DymI","https://www.doordash.com/store/wow-bao-richmond-1497637/en-US","Yes","Yes","No","No","Yes","https://www.ubereats.com/lexington/food-delivery/fazolis-441-leighway-dr/DwaPqdOhREmgU16B6hGFxQ?pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMjQwMCUyMFMlMjBWZXJtb250JTIwQXZlJTIyJTJDJTIycmVmZXJlbmNlJTIyJTNBJTIyQ2hJSklmaFgwR1RId29BUjI1Skx2RXEybFdnJTIyJTJDJTIycmVmZXJlbmNl"
"Fazoli's - W. Washington - Indianapolis (IN)","5202 W. Washington","Indianapolis","IN","46241","0063i000009DynZ","https://www.doordash.com/store/wow-bao-indianapolis-1496738/en-US","Yes","Yes","No","No","Yes","https://www.ubereats.com/indianapolis/food-delivery/wow-bao-5202-west-washington/wQxC6PgnS9qYMEYUmg4o1w?pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMjQwMCUyMFMlMjBWZXJtb250JTIwQXZlJTIyJTJDJTIycmVmZXJlbmNlJTIyJTNBJTIyQ2hJSklmaFgwR1RId29BUjI1Skx2RXEybFdnJTIyJTJDJTIycmVm"
"Fazoli's - Walker (MI)","2521 Alpine Ave","Walker","MI","49544","0063i000009Dyvk","https://www.doordash.com/store/1497462/?utm_source=partner-link&utm_medium=website&utm_campaign=1497462","Yes","Yes","No","No","Yes","https://www.ubereats.com/grand-rapids/food-delivery/wow-bao-2521-alpine-ave/q-AU18goQ2KJg1UWTK3n_g?pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMjQwMCUyMFMlMjBWZXJtb250JTIwQXZlJTIyJTJDJTIycmVmZXJlbmNlJTIyJTNBJTIyQ2hJSklmaFgwR1RId29BUjI1Skx2RXEybFdnJTIyJTJDJTIycmVmZXJlb"
"Fired Pie - Ray Road - Phoenix (AZ)","4905 E Ray Road #104","Phoenix","AZ","85044","0063i00000BEGyg","https://www.doordash.com/en-CA/store/wow-bao-gillette-1528773/?utm_campaign=1640672&utm_medium=website&utm_source=partner-link","Yes","","","","No","https://www.ubereats.com/phoenix/food-delivery/wow-bao-4905-e-ray-rd-%23104/zCuT4j73RyOM0afGt6c8pw?pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMjIzNTAxJTIwRWwlMjBUb3JvJTIwUmQlMjIlMkMlMjJyZWZlcmVuY2UlMjIlM0ElMjJDaElKN1ZHNGt2bm8zSUFSaUJkUHVEOWFEdU0lMjIlMkMlMjJyZWZlcmVuY"
"Hotel Indigo - Tuscaloosa (AL)","111 Greensboro Ave.","Tuscaloosa","AL","35401","0063i000007DC9T","https://www.doordash.com/store/1477054/?utm_source=partner-link&utm_medium=website&utm_campaign=1477054","No","","","","No","https://www.ubereats.com/tuscaloosa/food-delivery/hotel-indigo-tuscaloosa-wow-bao/Q-fvoSQVRwWYqZzvy91zYw?pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMjg1MCUyMFclMjBTdXBlcmlvciUyMFN0JTIyJTJDJTIycmVmZXJlbmNlJTIyJTNBJTIyQ2hJSnUxTFpOQzNURDRnUnF5TTNoSVd1N1ZZJTIyJTJDJTIycmV"
"JOES LLC dba Sizzler - Sparks (NV)","615 E. Prater Way","Sparks","NV","89431","0063i000007Cm6t","https://www.doordash.com/en-CA/store/wow-bao-sparks-1209436/","Yes","No","No","No","No","https://www.ubereats.com/reno/food-delivery/wow-bao-615-e-prater-way/7Og3KRZjSNOgP6BKk8F3sA?pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMjQ4JTIwRSUyMDIzcmQlMjBTdCUyMiUyQyUyMnJlZmVyZW5jZSUyMiUzQSUyMkNoSUpnNVdSTjZGWndva1Izb1NnSjNkSks5YyUyMiUyQyUyMnJlZmVyZW5jZVR5cGUlMjIl"
"JOES LLC dba Sizzler - Tacoma (WA)","10204 S. Tacoma Way","Tacoma","WA","98499","0063i000007Cgli","https://www.doordash.com/en-CA/store/wow-bao-lakewood-1209439","Yes","No","No","No","No","https://www.ubereats.com/tacoma/food-delivery/wow-bao-10204-s-tacoma-way/AJABJ2yIT5CXPCv63KvyyA?pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMjQ4JTIwRSUyMDIzcmQlMjBTdCUyMiUyQyUyMnJlZmVyZW5jZSUyMiUzQSUyMkNoSUpnNVdSTjZGWndva1Izb1NnSjNkSks5YyUyMiUyQyUyMnJlZmVyZW5jZVR5cGUl"
"Obed & Isaac's Microbrewery and Eatery - Peoria (IL)","321 NE Madison Ave","Peoria","IL","61603","0063i00000BDQyS","https://www.doordash.com/en-CA/store/wow-bao-peoria-1697028","Yes","No","No","No","Yes",""
"Rachel's Kitchen - Las Vegas (Trailwood Dr)","9691 Trailwood Dr, #105","Las Vegas","NV","89134","0063i0000079nA5","https://www.doordash.com/store/1008012/?utm_source=partner-link&utm_medium=website&utm_campaign=1008012","No","","","","No","https://www.ubereats.com/las-vegas/food-delivery/wow-bao/2-1ob5LmSjGMCwSVgwFEUQ?utm_source=wok"
"Sizzler - Chatsworth (CA)","20557 Devonshire Street","Chatsworth","CA","91311","0063i000009DzfK","https://www.doordash.com/store/1461919/?utm_source=partner-link&utm_medium=website&utm_campaign=1461919","No","No","No","No","No","https://www.ubereats.com/los-angeles/food-delivery/wow-bao-20557-devonshire/nVwZq7LQTs-0AlMRiFdTjw?pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMjg1MCUyMFclMjBTdXBlcmlvciUyMFN0JTIyJTJDJTIycmVmZXJlbmNlJTIyJTNBJTIyQ2hJSnUxTFpOQzNURDRnUnF5TTNoSVd1N1ZZJTIyJTJDJTIycmVmZXJlb"
"Sizzler - Fountain Valley (CA)","9480 Warner Ave","Fountain Valley","CA","92708","0063i000009EEYV","https://www.doordash.com/en-CA/store/wow-bao-fountain-valley-1465731","No","No","No","No","Yes","https://www.ubereats.com/orange-county/food-delivery/sizzler-fountain-valley-wow-bao/U-L6E-pDS3WAXRh5dTYncw?pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMjg1MCUyMFclMjBTdXBlcmlvciUyMFN0JTIyJTJDJTIycmVmZXJlbmNlJTIyJTNBJTIyQ2hJSnUxTFpOQzNURDRnUnF5TTNoSVd1N1ZZJTIyJTJDJTIy"
"Sizzler - Van Nuys (CA)","7131 Van Nuys Blvd","Van Nuys","CA","91405","0063i000009CuYG","https://www.doordash.com/store/1333321/?utm_source=partner-link&utm_medium=website&utm_campaign=1333321","No","No","No","No","No","https://www.ubereats.com/los-angeles/food-delivery/wow-bao-7131-van-nuys-blvd/fYm5SE_ITSWQfDZjLgZAuQ?pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMjI1MzclMjBTJTIwV2FiYXNoJTIwQXZlJTIyJTJDJTIycmVmZXJlbmNlJTIyJTNBJTIyQ2hJSnNfRzdiSG9zRG9nUkdSUGxWVUh3RzJRJTIyJTJDJTIycmVmZXJ"
"Sizzler - West Covina (CA)","1100 West Covina Parkway","West Covina","CA","91790","0063i000009Ec0U","https://www.doordash.com/en-CA/store/wow-bao-west-covina-1486525","No","No","No","No","No","https://www.ubereats.com/los-angeles/food-delivery/wow-bao-1100-west-covina-parkway/dQI01VZqSRunFnTFPw9qXg?pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMjUxMjUlMjBFZGluYSUyMEluZHVzdHJpYWwlMjBCbHZkJTIyJTJDJTIycmVmZXJlbmNlJTIyJTNBJTIyQ2hJSl9WWmZOZWtqOW9jUjJMYTk4LVRhbFdRJ"
"Sizzling Platter - Pocatello (ID)","1000 Pocatello Creek Rd","Pocatello","ID","83201","0063i000007BRBc","https://www.doordash.com/store/1091528/?utm_source=partner-link&utm_medium=website&utm_campaign=1091528","Yes","Yes","No","No","Yes","https://www.ubereats.com/eastern-idaho/food-delivery/sizzling-platter-pocatello-wow-bao/Vg2rOA9WTaSXX1o2u53ItQ?utm_source=wok"
"Thai Topaz - San Antonio (TX)","2177 NW Military Hwy","San Antonio","TX","78213","0063i000009E1Q7","https://www.doordash.com/store/1485876/?utm_source=partner-link&utm_medium=website&utm_campaign=1485876","Yes","","","","No","https://www.ubereats.com/san-antonio/food-delivery/wow-bao-2177-nw-military-hwy/TMN2WsNrT3mEDK9XXlWwEg?pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMjUxMjUlMjBFZGluYSUyMEluZHVzdHJpYWwlMjBCbHZkJTIyJTJDJTIycmVmZXJlbmNlJTIyJTNBJTIyQ2hJSl9WWmZOZWtqOW9jUjJMYTk4LVRhbFdRJTIyJ"
